OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31573,2024-057Q,2026-03-14T22:02:29.634720,15.27583209,.00007062,43.0003,157.1121,314.0634,46.0160,0,U,59334,999,11064,-.4816288E-5,-.394E-5,0
STARLINK-31588,2024-057R,2026-03-14T22:11:44.968992,15.27580731,.00015084,42.9965,157.1682,48.8133,311.2849,0,U,59335,999,11064,.15092432E-4,.153E-5,0
STARLINK-31596,2024-057S,2026-03-14T22:17:18.498912,15.27575975,.00015535,43.0041,157.1990,271.8490,88.2183,0,U,59336,999,11064,-.69556118E-4,-.2176E-4,0
STARLINK-31612,2024-057T,2026-03-14T22:50:37.023360,15.27583404,.00008928,42.9993,157.3770,42.1826,317.9094,0,U,59337,999,11064,-.87956871E-4,-.2682E-4,0
STARLINK-31550,2024-057U,2026-03-14T21:53:27.676896,15.27577890,.00016101,43.0012,157.9317,264.3639,95.7029,0,U,59338,999,11063,-.46331243E-4,-.1537E-4,0
STARLINK-31473,2024-057V,2026-03-14T22:33:58.857120,15.27569254,.00007063,43.0000,157.2895,64.3920,295.7004,0,U,59339,999,11064,.1904873E-4,.262E-5,0
STARLINK-31562,2024-057W,2026-03-14T15:26:50.637696,15.27601058,.00007208,43.0009,174.0813,289.7097,70.3677,0,U,59340,999,11042,-.18330894E-3,-.5306E-4,0
STARLINK-31600,2024-057X,2026-03-14T22:40:09.899328,15.27608006,.00011216,42.9989,165.0997,16.4070,343.6818,0,U,59341,999,11055,-.23258849E-3,-.6662E-4,0
STARLINK-31628,2024-057Y,2026-03-14T13:38:36.767904,15.27579566,.00014687,43.0010,159.6531,278.6203,81.4482,0,U,59342,999,11058,.55721426E-4,.1271E-4,0
YUNHAI-3 02,2024-058A,2026-03-14T23:06:41.306112,14.13463592,.00008879,98.8241,83.1195,106.4470,253.6801,0,U,59343,999,10143,.48488059E-4,.47E-6,0
EUTELSAT 36D,2024-059A,2026-03-14T22:22:18.331104,1.00271774,.00002886,0.0137,166.6921,304.6736,72.5917,0,U,59346,999,720,0,.155E-5,0
STARLINK-31605,2024-060A,2026-03-14T10:43:15.486528,15.27589374,.00014059,43.0046,222.3270,267.9120,92.1571,0,U,59348,999,11085,-.9012904E-5,-.51E-5,0
STARLINK-31532,2024-060B,2026-03-14T20:39:26.453376,15.27556136,.00010978,42.9995,230.6543,266.1680,93.9046,0,U,59349,999,11090,-.72125831E-4,-.2245E-4,0
STARLINK-31593,2024-060C,2026-03-14T12:06:03.310272,15.27583253,.00020101,43.0025,232.2812,278.4329,81.6295,0,U,59350,999,11080,.1115733E-3,.2809E-4,0
STARLINK-31555,2024-060D,2026-03-14T17:42:11.142144,15.27577309,.00010442,42.9998,231.4497,277.8027,82.2706,0,U,59351,999,11088,.34156208E-4,.678E-5,0
STARLINK-31561,2024-060E,2026-03-14T12:02:21.696000,15.27581407,.00018028,43.0010,232.2606,287.1221,72.9433,0,U,59352,999,11080,.3236805E-4,.629E-5,0
STARLINK-31413,2024-060F,2026-03-14T18:39:19.870848,15.27578907,.00016541,42.9991,230.8908,278.6076,81.4589,0,U,59353,999,11084,.10615918E-3,.266E-4,0
STARLINK-31422,2024-060G,2026-03-14T21:21:58.019904,15.27567424,.00019156,43.0050,230.8818,275.8034,84.2599,0,U,59354,999,11085,-.7057595E-5,-.457E-5,0
STARLINK-31416,2024-060H,2026-03-14T19:10:48.897120,15.27566758,.0001331,43.0005,231.0530,281.4164,78.6538,0,U,59355,999,11084,.6423793E-5,-.85E-6,0
STARLINK-31552,2024-060J,2026-03-14T11:51:28.640736,15.27572742,.00023095,43.0039,233.0809,288.8084,71.2517,0,U,59356,999,11079,.65745912E-4,.1547E-4,0
STARLINK-31557,2024-060K,2026-03-14T19:33:27.358272,15.27599482,.00016997,43.0028,226.8176,267.1192,92.9466,0,U,59357,999,11089,.10928951E-3,.2748E-4,0
