OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-03-14T19:39:30.748032,13.76505156,.00240749,90.2163,69.5669,214.2025,221.9831,0,U,900,999,5844,.71821461E-3,.713E-5,0
CALSPHERE 2,1964-063E,2026-03-14T22:45:43.111296,13.52892167,.00199133,90.2284,73.5560,136.5285,254.7274,0,U,902,999,84352,.95218479E-4,.72E-6,0
LCS 1,1965-034C,2026-03-14T20:36:12.896640,9.89309921,.00132248,32.1448,40.9875,148.4809,211.6483,0,U,1361,999,20054,-.12144447E-4,.8E-7,0
TEMPSAT 1,1965-065E,2026-03-14T21:55:17.429952,13.33589639,.00706682,89.9949,212.5842,152.1645,332.2223,0,U,1512,999,94748,.6432892E-4,.42E-6,0
CALSPHERE 4A,1965-065H,2026-03-14T21:36:19.885824,13.36260176,.00697544,89.9022,123.4220,11.5766,162.1620,0,U,1520,999,95011,.20668284E-3,.117E-5,0
OPS 5712 (P/L 160),1967-053A,2026-03-14T21:58:33.351456,14.76285850,.00038883,69.9160,269.1111,219.5640,140.5223,0,U,2826,999,5231,.16457979E-2,.11368E-3,0
LES-5,1967-066E,2026-03-14T17:41:56.245056,1.09425262,.00559467,2.4047,99.2717,209.1668,262.4176,0,U,2866,999,13000,0,-.64E-6,0
SURCAL 159,1967-053F,2026-03-14T17:58:30.405792,13.99577830,.00093171,69.9743,204.1807,246.6671,113.3457,0,U,2872,999,99699,.1257193E-3,.13E-5,0
OPS 5712 (P/L 153),1967-053H,2026-03-14T22:57:37.855296,13.96812959,.00093656,69.9752,317.2826,305.0443,54.9784,0,U,2874,999,99362,.8381717E-4,.63E-6,0
OPS 3811 (DSP 2),1971-039A,2026-03-14T19:25:17.595552,0.98160178,.00235315,0.2348,4.1358,289.1326,219.0348,0,U,5204,999,20530,0,-.22E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-03-14T21:23:11.516064,14.37751499,.00595003,87.6277,4.9695,183.5411,176.5376,0,U,5398,999,86033,.25125032E-3,.789E-5,0
OSCAR 7 (AO-7),1974-089B,2026-03-14T21:39:50.688864,12.53696509,.00119433,101.9966,86.1487,312.0070,113.5034,0,U,7530,999,34870,.19097808E-3,-.16E-6,0
STARLETTE,1975-010A,2026-03-14T21:27:39.508128,13.82349253,.02055816,49.8221,116.7859,111.5347,250.7594,0,U,7646,999,58149,.9067136E-5,-.133E-5,0
LAGEOS 1,1976-039A,2026-03-14T21:09:47.424096,6.38664871,.00446631,109.8157,147.0602,322.4845,209.7624,0,U,8820,999,90711,0,0,0
OPS 8701 (DSP 10),1982-019A,2026-03-14T20:34:21.184032,0.98190340,.0004691,9.4821,309.8889,324.1163,224.4948,0,U,13086,999,2473,0,-.133E-5,0
PHASE 3B (AO-10),1983-058B,2026-03-13T16:53:27.645216,2.05870209,.60452846,25.9213,235.5807,89.2129,335.2286,0,U,14129,999,29352,0,.107E-5,0
UOSAT 2 (UO-11),1984-021B,2026-03-14T21:50:19.498560,14.90526997,.00087397,97.7954,40.6105,128.4225,231.7779,0,U,14781,999,24308,.19575585E-3,.1858E-4,0
AJISAI (EGS),1986-061A,2026-03-14T22:31:38.821728,12.44515686,.00112879,50.0083,77.2062,300.5356,143.1437,0,U,16908,999,46865,.82681588E-4,-.86E-6,0
TDRS 3,1988-091B,2026-03-14T04:51:38.553120,1.00275639,.00424289,12.6751,341.6235,353.8077,220.4028,0,U,19548,999,12443,0,-.291E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-03-14T01:53:42.917280,2.13156113,.00234193,64.8905,75.4467,217.5929,205.2239,0,U,19751,999,28934,0,.54E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-03-14T11:42:55.027296,2.13204639,.00204659,64.9913,313.8001,213.3549,304.6227,0,U,20026,999,28648,0,-.14E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-03-14T16:20:09.640032,1.00282205,.00083471,12.4478,351.7301,349.8228,201.2281,0,U,20253,999,25961,0,-.36E-5,0
LUSAT (LO-19),1990-005G,2026-03-14T18:48:57.935232,14.34090436,.00125315,98.8932,92.9553,120.6273,239.6149,0,U,20442,999,88886,.84802688E-4,.191E-5,0
HST,1990-037B,2026-03-14T21:38:18.697920,15.29574848,.00017639,28.4725,4.4435,178.3433,181.7169,0,U,20580,999,77411,.31210791E-3,.9443E-4,0
SKYNET 4C,1990-079A,2026-03-13T22:23:52.120032,1.00275698,.00033022,13.3702,350.4594,17.1185,173.3126,0,U,20776,999,12993,0,.134E-5,0
USA 65 (DSP 15),1990-095A,2026-03-14T08:37:38.625312,0.98397194,.00038545,14.0623,344.6992,67.0044,113.4750,0,U,20929,999,2453,0,-.32E-6,0
TDRS 5,1991-054B,2026-03-14T13:14:38.571648,1.00270774,.00098439,14.0830,354.4745,276.6361,292.0340,0,U,21639,999,12676,0,.91E-6,0
USA 75 (DSP 16),1991-080B,2026-03-14T22:16:26.393664,0.99188871,.00034284,14.0540,346.1764,71.1514,104.6522,0,U,21805,999,2477,0,-.88E-6,0
LAGEOS 2,1992-070B,2026-03-14T17:09:38.236896,6.47293408,.01377285,52.6765,326.3697,146.0143,77.7069,0,U,22195,999,78930,0,-.9E-7,0
TDRS 6,1993-003B,2026-03-14T03:51:41.429088,1.00275205,.00051604,14.1813,357.7641,196.8670,349.2379,0,U,22314,999,12145,0,-.288E-5,0
SCD 1,1993-009B,2026-03-14T08:03:43.512192,14.46071065,.00417968,24.9695,73.2039,213.7890,169.6949,0,U,22490,999,74737,.85362901E-4,.499E-5,0
UFO 2 (USA 95),1993-056A,2026-03-14T12:03:51.710112,1.00268324,.0011263,11.8626,4.0673,350.7252,26.9952,0,U,22787,999,11760,0,.131E-5,0
STELLA,1993-061B,2026-03-14T21:55:59.206080,14.27467670,.00069881,98.7830,137.7851,143.6729,267.4348,0,U,22824,999,69132,.3572463E-5,-.36E-6,0
EYESAT A (AO-27),1993-061C,2026-03-14T16:07:16.038624,14.30914940,.00087138,98.6971,141.0853,25.2992,334.8616,0,U,22825,999,69348,.65346912E-4,.127E-5,0
ITAMSAT (IO-26),1993-061D,2026-03-14T16:18:02.657088,14.31339177,.00089107,98.6920,141.0008,8.8775,351.2564,0,U,22826,999,69379,.72055035E-4,.146E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-03-14T20:03:46.615680,1.00271310,.0003726,17.4773,28.7228,314.8202,39.8450,0,U,22988,999,3200,0,-.191E-5,0
RADIO ROSTO (RS15),1994-085A,2026-03-14T18:01:09.566688,11.27583888,.01528516,64.8133,95.9468,21.0791,339.6344,0,U,23439,999,28525,-.20322992E-4,-.43E-6,0
UFO 4 (USA 108),1995-003A,2026-03-14T16:42:04.438944,1.00274710,.00037102,9.6800,13.5381,341.8327,239.7818,0,U,23467,999,11400,0,-.16E-6,0
TDRS 7,1995-035B,2026-03-14T17:13:50.287296,1.00273789,.00086615,13.4164,348.8391,49.0187,122.0274,0,U,23613,999,11230,0,-.232E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-03-14T17:02:34.037952,1.00272236,.00035568,14.0391,4.4453,346.0697,317.4301,0,U,23712,999,3193,0,-.13E-6,0
POLAR,1996-013A,2026-03-13T12:42:16.114752,1.29845770,.63734265,79.7558,228.1473,212.3300,84.2673,0,U,23802,999,14361,0,.23E-5,0
INMARSAT 3-F1,1996-020A,2026-03-14T15:21:24.719616,0.99999898,.00056676,10.4061,47.4900,280.2181,75.0988,0,U,23839,999,10930,0,-.57E-6,0
USA 119,1996-029A,2026-03-14T18:23:32.081856,13.45909121,.08466065,63.3193,79.1289,47.7185,319.2527,0,U,23893,999,9256,.37782388E-3,.2186E-4,0
JAS-2 (FO-29),1996-046B,2026-03-14T14:24:12.070944,13.53269068,.03496157,98.5375,295.3553,342.0303,16.8727,0,U,24278,999,46037,.60160473E-4,.22E-6,0
INMARSAT 3-F2,1996-053A,2026-03-14T13:05:30.798240,0.99978974,.00062234,9.6438,54.8840,302.9586,254.7043,0,U,24307,999,10797,0,.17E-6,0
INMARSAT 3-F3,1996-070A,2026-03-14T20:00:10.721952,0.99998780,.00065028,10.1159,50.5412,280.0492,282.9934,0,U,24674,999,10696,0,-.309E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-03-14T11:18:56.431008,2.00564034,.00982168,55.9413,102.2771,56.2098,304.7946,0,U,24876,999,21005,0,.46E-6,0
FORTE,1997-047A,2026-03-14T19:22:23.679264,14.27902242,.00198651,69.9524,227.1898,41.6538,318.6093,0,U,24920,999,48521,.12969088E-3,.264E-5,0
AMC-3,1997-050A,2026-03-14T21:51:28.787904,1.00270867,.00035557,7.9139,65.1495,304.9147,58.3166,0,U,24936,999,5149,0,-.258E-5,0
USA 134,1997-065A,2026-03-14T21:40:07.377024,1.00269993,.00063887,12.6723,22.4165,313.0142,49.9148,0,U,25019,999,3201,0,-.57E-6,0
ORBCOMM FM06,1997-084G,2026-03-14T22:49:08.144544,14.47292873,.00023295,45.0123,146.2807,221.0834,308.8102,0,U,25118,999,48073,.52371527E-3,.179E-4,0
INMARSAT 3-F5,1998-006B,2026-03-14T20:14:00.635424,1.00272363,.0005171,9.4820,54.1784,304.2478,63.5719,0,U,25153,999,10295,0,-.286E-5,0
ORBCOMM FM04,1998-007C,2026-03-14T23:30:50.886432,14.35540984,.00386227,107.9612,335.5869,133.0543,227.3841,0,U,25159,999,46307,.35945872E-3,.912E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-03-14T23:14:23.001792,14.22455004,.00635472,108.0063,142.1143,293.2359,240.5022,0,U,25160,999,45711,.68187849E-4,.25E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-03-14T22:30:55.219104,14.24407775,.00021957,99.0030,64.3394,111.1627,248.9785,0,U,25397,999,43791,.64459852E-4,.102E-5,0
WESTPAC,1998-043E,2026-03-14T21:50:48.989472,14.23047481,.00022846,99.0074,57.7578,107.6462,252.4965,0,U,25398,999,43753,.21062674E-4,.1E-7,0
ORBCOMM FM19,1998-046C,2026-03-14T17:59:52.206720,14.39287789,.00022659,44.9956,332.3866,209.1912,165.9070,0,U,25415,999,44317,.45740866E-3,.1291E-4,0
ORBCOMM FM20,1998-046D,2026-03-14T17:40:57.871488,14.37908249,.00009619,44.9955,339.3472,308.5206,51.5556,0,U,25416,999,44319,.36063169E-3,.957E-5,0
ORBCOMM FM27,1998-053G,2026-03-14T16:52:02.381376,14.38946189,.00018961,45.0053,64.0552,275.6489,84.4143,0,U,25481,999,43662,.47402198E-3,.1332E-4,0
SCD 2,1998-060A,2026-03-14T22:03:33.281280,14.45485898,.00166813,24.9955,293.4956,206.4103,176.4700,0,U,25504,999,44667,.72788292E-4,.443E-5,0
ISS (ZARYA),1998-067A,2026-03-14T19:19:28.771104,15.48281436,.00063712,51.6329,47.0659,190.9724,169.1126,0,U,25544,999,55712,.20105253E-3,.10373E-3,0
SWAS,1998-071A,2026-03-14T20:07:01.136640,15.08932984,.00044625,69.8952,110.7040,2.8156,357.3032,0,U,25560,999,48303,.27874007E-3,.4307E-4,0
ISS (UNITY),1998-069F,2026-03-14T19:19:28.771104,15.48281436,.00063712,51.6329,47.0659,190.9724,169.1126,0,U,25575,999,55441,.20105253E-3,.10373E-3,0
DLR-TUBSAT,1999-029B,2026-03-14T21:54:27.030240,14.52400021,.00130303,98.6668,66.3314,277.5835,82.3879,0,U,25757,999,41956,.51148256E-4,.16E-5,0
CXO,1999-040B,2026-03-15T04:13:19.058592,0.37797975,.7987924,54.6015,119.5309,310.6410,0.3950,0,U,25867,999,1696,0,.1098E-4,0
ABS-6,1999-053A,2026-03-14T21:14:47.307264,1.00271604,.0002838,0.0229,219.8216,124.6785,305.7027,0,U,25924,999,9689,0,-.12E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-03-14T07:44:50.822016,2.00567306,.01063887,51.5484,299.6180,171.9425,11.9480,0,U,25933,999,19367,0,-.16E-6,0
UFO 10 (USA 146),1999-063A,2026-03-14T16:57:23.017824,1.00271438,.00050909,9.8416,27.7276,303.8330,72.2675,0,U,25967,999,9640,0,-.182E-5,0
ORBCOMM FM32,1999-065C,2026-03-14T21:12:02.723904,14.36977349,.00054851,45.0148,259.5653,305.4706,54.5629,0,U,25982,999,37352,.3362937E-3,.864E-5,0
XMM-NEWTON,1999-066A,2026-03-16T14:27:53.068320,0.50127971,.47088467,64.9536,284.1881,66.5353,0.0005,0,U,25989,999,2254,0,.194E-5,0
TERRA,1999-068A,2026-03-14T22:02:57.039072,14.61020961,.0003016,97.9582,127.1534,139.8124,273.4935,0,U,25994,999,39584,.11258188E-3,.508E-5,0
ASIASTAR,2000-016A,2026-03-14T22:41:53.953440,1.00273673,.00044531,8.9102,59.1476,303.5947,255.3011,0,U,26107,999,9497,0,-.33E-5,0
IMAGE,2000-017A,2026-03-12T15:09:33.392736,1.68664991,.7505235,94.1460,314.0752,298.8228,7.0460,0,U,26113,999,15987,-.2624E-2,.82E-6,0
USA 149 (DSP 20),2000-024A,2026-03-14T16:45:56.439360,1.00280700,.00021389,13.0992,12.5114,19.1038,227.0288,0,U,26356,999,3196,0,.102E-5,0
TDRS 8,2000-034A,2026-03-14T20:53:34.340640,1.00274529,.00061938,12.5362,32.1091,315.0835,223.5433,0,U,26388,999,9423,0,-.19E-5,0
ISS (ZVEZDA),2000-037A,2026-03-14T19:19:28.771104,15.48281436,.00063712,51.6329,47.0659,190.9724,169.1126,0,U,26400,999,55442,.20105253E-3,.10373E-3,0
NAVSTAR 48 (USA 151),2000-040A,2026-03-14T13:43:49.207584,2.00569037,.01224688,54.8730,218.9181,302.5344,64.4987,0,U,26407,999,18805,0,.18E-6,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-03-13T04:26:23.008992,0.44824009,.892102,149.0994,35.5717,251.7870,0.4837,0,U,26410,999,1987,0,.9157E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-02-18T01:30:32.809536,0.44405995,.88900451,149.0711,33.5376,249.4570,359.4916,0,U,26464,999,1976,0,.4776E-4,0
NSS-11,2000-059A,2026-03-14T21:19:31.851840,1.00272055,.00031235,1.8814,82.5291,276.9655,308.8777,0,U,26554,999,4034,0,.25E-6,0
USA 153,2000-065A,2026-03-14T17:42:18.709056,1.00267207,.00027459,11.4630,36.1863,355.1447,180.8585,0,U,26575,999,3198,0,-.322E-5,0
AMC-6,2000-067A,2026-03-14T18:08:08.732832,1.00272694,.00031825,0.0091,79.0214,283.4645,306.8523,0,U,26580,999,9294,0,.88E-6,0
NAVSTAR 49 (USA 154),2000-071A,2026-03-14T15:12:54.567360,2.00570128,.01734815,55.5693,98.6876,265.6978,69.1918,0,U,26605,999,18561,0,.47E-6,0
ISS (DESTINY),2001-006B,2026-03-14T19:19:28.771104,15.48281436,.00063712,51.6329,47.0659,190.9724,169.1126,0,U,26700,999,55443,.20105253E-3,.10373E-3,0
ODIN,2001-007A,2026-03-14T16:04:05.447136,15.59178031,.00049889,97.4069,109.9209,130.6550,229.5140,0,U,26702,999,37461,.73373E-3,.57682E-3,0
USA 157 (MILSTAR-2 2),2001-009A,2026-03-14T16:56:26.037888,1.00271155,.0037971,11.4387,20.3349,181.1024,74.9154,0,U,26715,999,3199,0,.116E-5,0
BSAT-2A,2001-011B,2026-03-14T21:50:58.835616,0.99176743,.00055378,10.5343,48.3443,237.2239,141.1841,0,U,26720,999,9104,0,-.126E-5,0
INTELSAT 10 (IS-10),2001-019A,2026-03-14T22:39:31.680288,0.99038038,.00055371,8.8498,60.2068,274.9671,273.7301,0,U,26766,999,4464,0,-.56E-6,0
OMNI-M1,2001-026A,2026-03-12T15:50:48.975648,3.92402209,.00175684,44.8728,267.5036,31.4209,328.7141,0,U,26857,999,20178,0,.3E-7,0
USA 159 (DSP 21),2001-033A,2026-03-14T20:04:39.032832,0.99197581,.00004179,12.6915,17.0621,239.5916,130.3288,0,U,26880,999,3202,0,-.7E-6,0
INTELSAT 902 (IS-902),2001-039A,2026-03-14T21:57:43.189344,1.00270908,.00046123,5.8798,72.9262,282.4811,96.4331,0,U,26900,999,8975,0,-.281E-5,0
PCSAT (NO-44),2001-043C,2026-03-14T14:05:49.141248,14.31914913,.00069951,67.0498,128.9462,265.0362,94.9941,0,U,26931,999,27690,.94420142E-4,.17E-5,0
PROBA-1,2001-049B,2026-03-14T22:28:13.181088,15.07066807,.00572225,97.9641,79.1930,81.7849,278.9862,0,U,26958,999,32942,.27441371E-3,.4202E-4,0
TIMED,2001-055B,2026-03-14T22:22:38.337888,14.95041750,.0002984,74.0665,64.7666,269.1249,90.9594,0,U,26998,999,31673,.16489271E-3,.1766E-4,0
MAROC-TUBSAT,2001-056D,2026-03-14T17:27:17.644320,13.70258254,.00201323,99.8017,248.8192,26.9855,344.0747,0,U,27004,999,21325,.44220028E-4,-.8E-7,0
COSMOS 2385,2001-058B,2026-03-14T22:32:08.121696,12.60563197,.00070915,82.5337,280.1338,86.6960,46.4971,0,U,27056,999,11390,.672745E-6,.11E-6,0
COSMOS 2386,2001-058C,2026-03-14T15:22:41.430720,12.61614635,.00005615,82.5392,274.7013,79.6917,280.4237,0,U,27057,999,11458,.18113043E-3,.43E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2026-03-14T13:44:04.599744,1.00274095,.00996901,11.0670,22.4668,5.4145,9.2349,0,U,27168,999,3201,0,.103E-5,0
INTELSAT 904 (IS-904),2002-007A,2026-03-14T20:20:22.524288,1.00270915,.00066617,6.6834,70.3093,315.9166,59.8389,0,U,27380,999,5082,0,-.223E-5,0
AQUA,2002-022A,2026-03-14T21:06:47.853792,14.61990929,.00006179,98.4182,41.3394,100.4652,287.3845,0,U,27424,999,26949,.24828752E-3,.1195E-4,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-03-14T14:49:50.246688,1.00272226,.00034541,4.6349,76.4848,284.7480,283.3557,0,U,27426,999,8717,0,-.56E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-03-08T16:38:59.462592,1.00272811,.00031045,6.5009,71.0066,285.0028,282.9238,0,U,27438,999,5035,0,.95E-6,0
GALAXY 3C (G-3C),2002-030A,2026-03-14T21:44:59.410752,1.00271948,.00013666,3.4882,79.3024,24.8550,299.7744,0,U,27445,999,4554,0,-.152E-5,0
COSMOS 2390,2002-036A,2026-03-14T21:51:59.855616,12.44620648,.00265198,82.4829,43.8963,103.5379,256.8658,0,U,27464,999,7594,.15406144E-3,.32E-6,0
COSMOS 2391,2002-036B,2026-03-14T22:51:12.492288,12.44943416,.00274324,82.4832,40.4416,97.8824,262.5372,0,U,27465,999,7612,.19733084E-3,.38E-6,0
INTELSAT 906 (IS-906),2002-041A,2026-03-14T15:39:37.971648,1.00271500,.00030367,5.5631,74.0782,277.5106,119.7104,0,U,27513,999,8608,0,.15E-6,0
LATINSAT B,2002-058B,2026-03-14T16:49:56.219232,14.76877012,.00856753,64.5547,180.2193,288.4434,70.7370,0,U,27606,999,24814,.15798668E-3,.1031E-4,0
SAUDISAT 1C (SO-50),2002-058C,2026-03-14T06:30:18.332064,14.82804742,.00753077,64.5526,62.6028,279.8659,79.3951,0,U,27607,999,25038,.26270512E-3,.2083E-4,0
LATINSAT A,2002-058H,2026-03-14T21:35:16.600416,14.85277824,.00564815,64.5529,254.3827,262.0841,97.3853,0,U,27612,999,25362,.16013191E-3,.1262E-4,0
NIMIQ 2,2002-062A,2026-03-14T13:07:23.118240,1.00271984,.00063527,9.2269,57.8737,299.4458,262.5067,0,U,27632,999,4323,0,-.65E-6,0
CORIOLIS,2003-001A,2026-03-14T21:56:24.644832,14.19915036,.00149627,98.7160,82.2282,122.2955,237.9673,0,U,27640,999,20084,.10402551E-3,.178E-5,0
SORCE,2003-004A,2026-03-14T11:35:18.898368,15.03138495,.00156506,39.9905,81.7782,92.1257,268.1329,0,U,27651,999,25764,.34822457E-3,.4649E-4,0
NAVSTAR 51 (USA 166),2003-005A,2026-03-14T22:44:30.375456,2.00565678,.01486778,54.9048,218.7109,52.7920,1.1555,0,U,27663,999,16942,0,.16E-6,0
USA 167,2003-008A,2026-03-14T17:05:55.138272,1.00271193,.00055052,10.7738,44.2387,292.9349,329.8288,0,U,27691,999,582,0,.1E-6,0
NAVSTAR 52 (USA 168),2003-010A,2026-03-14T02:12:24.990624,1.94743128,.00045969,54.8684,328.7479,343.9874,190.4809,0,U,27704,999,16806,0,-.68E-6,0
USA 169 (MILSTAR-2 4),2003-012A,2026-03-14T16:50:40.638336,1.00271091,.01007305,12.2064,30.5930,4.2093,182.3136,0,U,27711,999,3200,0,-.233E-5,0
ASIASAT 4,2003-014A,2026-03-14T19:25:26.860224,1.00270783,.00026614,4.4635,76.9264,279.5720,254.8287,0,U,27718,999,4435,0,-.221E-5,0
HELLAS-SAT 2,2003-020A,2026-03-14T18:43:50.309760,1.00272184,.00071284,7.1191,69.0033,251.0248,123.3113,0,U,27811,999,4190,0,-.81E-6,0
THURAYA-2,2003-026A,2026-03-14T22:24:40.604256,1.00272733,.0003571,8.6957,32.3433,317.5367,202.8220,0,U,27825,999,8340,0,.13E-5,0
OPTUS C1,2003-028B,2026-03-14T19:31:04.750752,1.00270496,.00061509,6.6524,70.5451,287.5561,262.8121,0,U,27831,999,5211,0,-.149E-5,0
MOST,2003-031D,2026-03-14T22:47:08.991168,14.21300876,.00102252,98.7081,82.9788,158.8230,201.3372,0,U,27843,999,17732,.69794739E-4,.109E-5,0
CUTE-1 (CO-55),2003-031E,2026-03-14T21:40:11.462880,14.24271034,.00107611,98.6776,83.6370,99.0298,261.2099,0,U,27844,999,17825,.19111018E-3,.398E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-03-14T13:31:00.670944,14.23565240,.00105214,98.6807,83.0901,116.0304,244.1959,0,U,27848,999,17791,.17224166E-3,.349E-5,0
SCISAT 1,2003-036A,2026-03-14T21:11:51.005472,14.81324681,.00058261,73.9328,358.6976,84.3023,275.8817,0,U,27858,999,21748,.13420262E-3,.1012E-4,0
COSMOS 2400,2003-037A,2026-03-14T21:29:52.019808,12.45188308,.00203195,82.4727,28.9658,262.3318,97.5456,0,U,27868,999,2580,.598381E-3,.95E-6,0
COSMOS 2401,2003-037B,2026-03-14T23:05:32.375328,12.45501093,.00210709,82.4726,25.3445,257.3431,102.5294,0,U,27869,999,2604,.30037144E-3,.53E-6,0
USA 170,2003-040A,2026-03-14T15:28:09.073344,1.00266798,.00014128,10.3001,48.8258,352.8490,26.9372,0,U,27875,999,3205,0,.131E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-03-14T23:12:31.139712,14.73272902,.00107524,98.3445,255.6750,202.2227,306.9819,0,U,27939,999,20167,.31809545E-3,.2004E-4,0
LARETS,2003-042F,2026-03-14T22:12:03.059424,14.63850157,.00117006,98.4026,234.2073,335.7895,24.2755,0,U,27944,999,19957,.26673875E-4,.89E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-03-14T16:21:11.487744,1.00271685,.00022105,1.1742,85.1177,267.4645,274.9766,0,U,27954,999,4562,0,.132E-5,0
IRS-P6 (RESOURCESAT-1),2003-046A,2026-03-14T23:22:32.333376,14.36120254,.00628875,98.2042,115.0512,264.9432,214.0240,0,U,28051,999,16700,.56357414E-4,.126E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2026-03-14T22:38:38.835456,14.14464331,.0007985,98.9987,97.1103,59.5867,3.5259,0,U,28054,999,15616,.10908761E-3,.164E-5,0
CHUANGXIN 1 (CX-1),2003-049B,2026-03-14T22:58:57.376992,14.48532706,.00135703,98.5175,332.2984,107.2017,253.0662,0,U,28058,999,18263,.87363224E-4,.283E-5,0
YAMAL 202,2003-053A,2026-03-14T19:33:19.535616,1.00272904,.00052887,6.1052,72.0843,250.6872,306.5002,0,U,28089,999,8175,0,-.78E-6,0
UFO 11 (USA 174),2003-057A,2026-03-14T22:33:32.253696,1.00272301,.00034158,8.8629,34.2782,301.1541,250.9175,0,U,28117,999,8150,0,-.98E-6,0
NAVSTAR 53 (USA 175),2003-058A,2026-03-14T14:13:46.831296,1.92678555,.00031615,54.9733,26.7693,314.5776,45.3896,0,U,28129,999,16264,0,-.65E-6,0
USA 176 (DSP 22),2004-004A,2026-03-14T21:44:29.457600,1.00271695,.00021354,11.9343,26.7541,276.0471,99.3980,0,U,28158,999,3199,0,-.154E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-03-14T15:38:45.556224,1.00274622,.0005453,5.8029,73.1511,284.7420,110.0635,0,U,28184,999,5139,0,.41E-6,0
EUTELSAT 139 WEST A,2004-008A,2026-03-14T20:24:44.604864,1.00831436,.00023097,5.5878,73.1311,27.1240,2.0925,0,U,28187,999,8041,0,-.29E-6,0
NAVSTAR 54 (USA 177),2004-009A,2026-03-14T09:06:01.528704,2.00557837,.01114344,54.9080,279.5164,169.3433,349.7979,0,U,28190,999,16104,0,.28E-6,0
SHIYAN-1 (SY-1),2004-012A,2026-03-14T16:52:46.911072,15.31214942,.000541,97.8766,145.7980,5.7403,354.3898,0,U,28220,999,19662,.65927572E-3,.19832E-3,0
AMC-11,2004-017A,2026-03-14T21:40:22.352736,1.00272103,.00032434,0.0665,79.6091,287.1675,19.7240,0,U,28252,999,7991,0,-.5E-6,0
INTELSAT 10-02,2004-022A,2026-03-14T22:11:49.337376,1.00270789,.00013091,0.0224,119.2014,292.1451,93.1527,0,U,28358,999,7961,0,-.12E-6,0
NAVSTAR 55 (USA 178),2004-023A,2026-03-13T09:35:38.572800,2.00552384,.01598714,54.7964,90.5792,298.9108,53.8796,0,U,28361,999,15911,0,.3E-6,0
APRIZESAT 2,2004-025A,2026-03-14T22:24:11.261952,14.37993118,.01058293,98.0920,245.2920,173.9838,186.2649,0,U,28366,999,13809,.12574239E-3,.364E-5,0
SAUDICOMSAT 1,2004-025D,2026-03-14T21:35:57.761376,14.55395866,.00312629,98.5807,81.4763,313.8844,45.9771,0,U,28369,999,15041,.13611925E-3,.545E-5,0
SAUDICOMSAT 2,2004-025E,2026-03-14T14:01:23.624544,14.49913893,.00555113,98.6685,83.1422,184.9242,175.1412,0,U,28370,999,14639,.11569975E-3,.406E-5,0
SAUDISAT 2,2004-025F,2026-03-14T22:08:38.969664,14.56621404,.00238642,98.5500,71.4789,224.3992,135.5292,0,U,28371,999,15202,.97856646E-4,.388E-5,0
APRIZESAT 1,2004-025G,2026-03-14T22:33:33.752736,14.51719562,.00457982,98.6343,82.0853,82.0560,278.5828,0,U,28372,999,14823,.10554819E-3,.38E-5,0
AURA,2004-026A,2026-03-14T21:38:05.472672,14.61162968,.00010851,98.3317,29.6383,88.7894,271.3431,0,U,28376,999,15244,.2473373E-3,.1169E-4,0
ANIK F2,2004-027A,2026-03-14T21:40:22.352736,1.00272141,.00033923,3.0402,80.6966,306.4253,359.3727,0,U,28378,999,4031,0,-.49E-6,0
COSMOS 2407,2004-028A,2026-03-14T22:40:10.713216,13.76325709,.00399782,82.9624,144.6362,154.2312,18.3589,0,U,28380,999,8691,.56608889E-4,.71E-6,0
SHIJIAN-6 01A (SJ-6 01A),2004-035A,2026-03-14T15:52:39.210816,15.16547463,.00082479,97.5975,100.5679,101.6151,258.6008,0,U,28413,999,17313,.6294614E-3,.12232E-3,0
SHIJIAN-6 01B (SJ-6 01B),2004-035B,2026-03-14T23:13:41.420928,15.05673966,.00068212,97.6144,93.0554,98.7949,261.4051,0,U,28414,999,17264,.21193286E-3,.3001E-4,0
